iter	Passed	Remaining
0	3	3017
1	5	2659
2	7	2500
3	9	2429
4	11	2383
5	14	2357
6	16	2329
7	18	2313
8	21	2372
9	23	2354
10	25	2334
11	28	2339
12	31	2386
13	33	2376
14	35	2361
15	38	2348
16	40	2334
17	42	2325
18	44	2316
19	47	2305
20	49	2314
21	52	2321
22	54	2318
23	56	2308
24	59	2310
25	61	2303
26	63	2294
27	65	2287
28	68	2280
29	70	2272
30	72	2264
31	74	2263
32	77	2257
33	79	2248
34	81	2244
35	83	2238
36	85	2231
37	87	2224
38	90	2218
39	92	2213
40	94	2209
41	96	2209
42	98	2203
43	101	2198
44	103	2194
45	105	2189
46	107	2184
47	109	2180
48	112	2175
49	114	2170
50	116	2165
51	118	2160
52	120	2156
53	122	2151
54	124	2147
55	127	2143
56	129	2140
57	131	2135
58	133	2130
59	135	2125
60	137	2121
61	139	2117
62	142	2113
63	145	2126
64	147	2124
65	149	2120
66	152	2118
67	154	2114
68	156	2111
69	158	2107
70	160	2104
71	162	2099
72	165	2095
73	167	2096
74	170	2108
75	173	2108
76	177	2122
77	179	2120
78	181	2119
79	183	2115
80	186	2111
81	188	2108
82	190	2106
83	192	2102
84	195	2100
85	197	2098
86	199	2096
87	201	2092
88	204	2089
89	206	2085
90	208	2081
91	210	2077
92	212	2073
93	214	2070
94	216	2066
95	218	2062
96	221	2058
97	223	2054
98	225	2050
99	227	2047
100	229	2043
101	231	2039
102	233	2035
103	236	2035
104	238	2032
105	240	2030
106	242	2026
107	245	2023
108	247	2020
109	249	2017
110	251	2014
111	253	2011
112	255	2008
113	258	2005
114	260	2004
115	262	2001
116	264	1998
117	267	1995
118	269	1992
119	271	1989
120	273	1987
121	275	1985
122	277	1982
123	280	1978
124	282	1975
125	284	1973
126	286	1969
127	288	1966
128	290	1964
129	293	1961
130	295	1959
131	297	1956
132	299	1954
133	301	1951
134	304	1948
135	306	1945
136	308	1941
137	310	1938
138	312	1935
139	314	1933
140	317	1932
141	319	1930
142	321	1928
143	323	1925
144	326	1923
145	328	1920
146	330	1917
147	332	1916
148	335	1918
149	338	1918
150	340	1916
151	342	1913
152	345	1910
153	347	1907
154	349	1904
155	351	1903
156	354	1901
157	356	1899
158	358	1896
159	360	1893
160	362	1890
161	364	1887
162	367	1885
163	369	1882
164	371	1881
165	373	1878
166	376	1876
167	378	1874
168	381	1878
169	384	1877
170	386	1875
171	389	1875
172	391	1872
173	394	1871
174	396	1869
175	398	1866
176	401	1864
177	403	1863
178	405	1861
179	408	1859
180	410	1856
181	413	1856
182	415	1854
183	417	1851
184	420	1850
185	422	1848
186	424	1845
187	426	1842
188	429	1841
189	431	1838
190	433	1836
191	436	1835
192	438	1833
193	440	1831
194	443	1830
195	445	1827
196	447	1825
197	450	1823
198	452	1821
199	454	1819
200	457	1818
201	459	1815
202	461	1812
203	463	1809
204	465	1806
205	468	1805
206	470	1803
207	473	1801
208	475	1799
209	477	1796
210	479	1794
211	482	1792
212	484	1790
213	487	1790
214	489	1787
215	492	1788
216	495	1787
217	497	1784
218	500	1784
219	503	1783
220	505	1781
221	507	1778
222	510	1777
223	512	1774
224	514	1773
225	517	1771
226	519	1770
227	522	1767
228	524	1765
229	526	1763
230	529	1761
231	531	1758
232	534	1759
233	536	1757
234	539	1755
235	542	1754
236	544	1752
237	547	1751
238	549	1749
239	552	1748
240	554	1745
241	556	1742
242	558	1740
243	560	1737
244	563	1736
245	565	1734
246	568	1731
247	570	1728
248	572	1727
249	574	1724
250	577	1722
251	579	1720
252	582	1718
253	584	1717
254	586	1714
255	589	1712
256	591	1710
257	593	1707
258	596	1706
259	598	1703
260	600	1700
261	602	1698
262	605	1695
263	607	1693
264	609	1691
265	611	1688
266	614	1687
267	616	1684
268	619	1682
269	621	1679
270	623	1677
271	625	1675
272	628	1672
273	630	1670
274	632	1668
275	634	1665
276	637	1662
277	639	1660
278	641	1658
279	644	1656
280	646	1654
281	648	1651
282	650	1649
283	653	1646
284	655	1643
285	657	1641
286	659	1639
287	662	1637
288	664	1634
289	666	1632
290	668	1629
291	671	1627
292	673	1624
293	675	1622
294	678	1620
295	680	1618
296	682	1616
297	684	1613
298	687	1611
299	689	1609
300	691	1606
301	694	1604
302	696	1602
303	699	1600
304	701	1598
305	703	1595
306	705	1592
307	707	1590
308	710	1588
309	712	1586
310	715	1584
311	717	1581
312	719	1579
313	721	1576
314	723	1573
315	726	1571
316	728	1570
317	730	1567
318	733	1565
319	735	1562
320	737	1560
321	740	1558
322	742	1556
323	744	1554
324	747	1551
325	749	1549
326	751	1547
327	753	1544
328	756	1542
329	758	1539
330	760	1537
331	762	1535
332	765	1532
333	767	1529
334	769	1527
335	771	1525
336	774	1523
337	776	1520
338	778	1518
339	780	1515
340	783	1514
341	785	1512
342	788	1510
343	790	1507
344	792	1505
345	794	1502
346	797	1500
347	799	1497
348	801	1495
349	803	1492
350	806	1490
351	808	1487
352	810	1485
353	812	1483
354	814	1480
355	817	1478
356	819	1475
357	822	1474
358	825	1473
359	827	1471
360	830	1469
361	832	1467
362	834	1465
363	837	1462
364	839	1460
365	841	1457
366	843	1455
367	846	1453
368	848	1451
369	850	1448
370	852	1446
371	855	1444
372	858	1442
373	860	1440
374	863	1439
375	866	1437
376	869	1437
377	872	1435
378	874	1433
379	876	1430
380	878	1428
381	881	1425
382	883	1422
383	885	1420
384	887	1417
385	890	1415
386	892	1413
387	894	1410
388	896	1408
389	898	1405
390	900	1402
391	903	1400
392	905	1398
393	907	1396
394	910	1394
395	912	1391
396	914	1389
397	916	1386
398	919	1385
399	921	1382
400	923	1379
401	925	1377
402	928	1374
403	930	1372
404	932	1370
405	935	1368
406	937	1365
407	939	1363
408	941	1360
409	943	1357
410	945	1355
411	948	1353
412	950	1351
413	952	1348
414	955	1346
415	957	1343
416	959	1341
417	961	1338
418	964	1336
419	966	1334
420	968	1332
421	970	1329
422	973	1327
423	975	1325
424	977	1323
425	980	1320
426	982	1318
427	984	1315
428	986	1313
429	989	1311
430	991	1308
431	993	1306
432	995	1304
433	998	1301
434	1000	1299
435	1002	1296
436	1004	1294
437	1006	1291
438	1008	1289
439	1011	1287
440	1013	1284
441	1016	1282
442	1018	1280
443	1020	1278
444	1022	1275
445	1024	1273
446	1026	1270
447	1029	1267
448	1031	1265
449	1033	1262
450	1035	1260
451	1037	1257
452	1039	1255
453	1042	1254
454	1045	1252
455	1047	1249
456	1049	1247
457	1052	1245
458	1054	1242
459	1056	1240
460	1058	1237
461	1060	1235
462	1063	1232
463	1065	1230
464	1067	1228
465	1070	1226
466	1072	1223
467	1074	1221
468	1076	1219
469	1079	1216
470	1081	1214
471	1083	1211
472	1085	1209
473	1088	1207
474	1090	1205
475	1092	1202
476	1094	1200
477	1097	1198
478	1099	1195
479	1101	1193
480	1103	1190
481	1105	1188
482	1107	1185
483	1109	1183
484	1112	1181
485	1114	1178
486	1116	1176
487	1119	1174
488	1121	1171
489	1123	1169
490	1125	1166
491	1127	1164
492	1129	1161
493	1131	1159
494	1134	1157
495	1136	1154
496	1138	1152
497	1140	1150
498	1143	1147
499	1145	1145
500	1147	1142
501	1149	1140
502	1151	1138
503	1154	1135
504	1156	1133
505	1158	1130
506	1160	1128
507	1162	1126
508	1164	1123
509	1167	1121
510	1169	1119
511	1172	1117
512	1174	1114
513	1176	1112
514	1178	1109
515	1180	1107
516	1182	1105
517	1185	1102
518	1187	1100
519	1189	1097
520	1191	1095
521	1193	1093
522	1195	1090
