iter	RMSE
0	1.102521025
1	1.057502571
2	1.014631388
3	0.9757151878
4	0.9403694173
5	0.9098794288
6	0.8837723373
7	0.858166239
8	0.8334031793
9	0.8125204422
10	0.792741992
11	0.7755680313
12	0.7596841583
13	0.7417458537
14	0.7256600081
15	0.7117689216
16	0.6984441931
17	0.6863938714
18	0.6779134133
19	0.6702554657
20	0.6621282573
21	0.6543503426
22	0.6479881393
23	0.6419139617
24	0.6349202331
25	0.6300214582
26	0.6260810776
27	0.6220684205
28	0.6187566464
29	0.614343315
30	0.6113307324
31	0.6082258614
32	0.6048879627
33	0.602028789
34	0.5973634134
35	0.5944986472
36	0.5902112201
37	0.5880441056
38	0.5845251494
39	0.5808000173
40	0.5782506747
41	0.5764068946
42	0.57457912
43	0.5713746675
44	0.5698330849
45	0.5680246142
46	0.5651055997
47	0.5626481401
48	0.5602658017
49	0.5584723093
50	0.5567380334
51	0.5553854591
52	0.5542409518
53	0.5529282021
54	0.551878068
55	0.5505166565
56	0.5485408714
57	0.5465974213
58	0.5451403948
59	0.5440771752
60	0.5428966027
61	0.5417888262
62	0.5398644979
63	0.5386078989
64	0.5377227931
65	0.5370600305
66	0.5365378045
67	0.5359024005
68	0.5349234497
69	0.5338045446
70	0.5333744794
71	0.5319657177
72	0.5311930045
73	0.5305562031
74	0.5297867619
75	0.5289904292
76	0.5279042548
77	0.5270235302
78	0.5258033552
79	0.5246481395
80	0.5237692896
81	0.5221227629
82	0.5210262626
83	0.5196335878
84	0.5186788448
85	0.5180660257
86	0.517315442
87	0.5162216731
88	0.51549381
89	0.5141247645
90	0.5133820511
91	0.5127541328
92	0.5117535173
93	0.5111533033
94	0.510335928
95	0.5094620483
96	0.5085622686
97	0.5074919219
98	0.5070212172
99	0.5062617953
100	0.5056065485
101	0.5047796834
102	0.5038363726
103	0.5032751119
104	0.5022480786
105	0.5016689109
106	0.5010458782
107	0.5004817127
108	0.5000701667
109	0.4996492361
110	0.4990243907
111	0.4983233668
112	0.4976474341
113	0.4969799897
114	0.4966350173
115	0.4958055896
116	0.4952605416
117	0.4947556083
118	0.4942177714
119	0.4935371925
120	0.492548454
121	0.4921575969
122	0.4913618042
123	0.4908269946
124	0.4902454748
125	0.4898098568
126	0.4893898315
127	0.488832861
128	0.4883891146
129	0.4879021873
130	0.4870281668
131	0.4862089152
132	0.4855442155
133	0.4849017911
134	0.4842490017
135	0.4837802049
136	0.4832333421
137	0.4828859072
138	0.482394785
139	0.4817857706
140	0.481341102
141	0.480795852
142	0.4796404185
143	0.4787307516
144	0.4782605718
145	0.4771988266
146	0.476713372
147	0.4762890098
148	0.4757079421
149	0.4751601274
150	0.4746532502
151	0.4743005186
152	0.473918671
153	0.4733855882
154	0.4730150017
155	0.4726106457
156	0.4719827274
157	0.4714880786
158	0.4711758689
159	0.4706020891
160	0.4701235745
161	0.4697747067
162	0.4694839085
163	0.4689821624
164	0.4687500612
165	0.4684030683
166	0.4680032241
167	0.4676546254
168	0.4671540697
169	0.4665421588
170	0.4662419256
171	0.4657699452
172	0.4650459643
173	0.4646609972
174	0.4642356538
175	0.4639002104
176	0.4635270378
177	0.462664923
178	0.4623258276
179	0.4619862435
180	0.4614328145
181	0.461070491
182	0.4604935923
183	0.4601325161
184	0.4596292779
185	0.4591102753
186	0.4588567805
187	0.4584994133
188	0.4581184633
189	0.4576856882
190	0.4574757185
191	0.4571110872
192	0.4567302796
193	0.4562583375
194	0.4559733871
195	0.4556756071
196	0.4553015925
197	0.4543871455
198	0.4539584652
199	0.4535358775
200	0.4531185543
201	0.4527152149
202	0.4521350053
203	0.4517899792
204	0.4515328659
205	0.4511420409
206	0.4506386763
207	0.4502915928
208	0.4499489943
209	0.4492939824
210	0.4490438891
211	0.4485960989
212	0.4482931193
213	0.4480985214
214	0.4477110294
215	0.4474336437
216	0.4471143344
217	0.4467933215
218	0.4464781153
219	0.4462066995
220	0.4458827671
221	0.4456989399
222	0.4453961355
223	0.444853742
224	0.4446498713
225	0.4444282083
226	0.4442345474
227	0.4439354226
228	0.4433765804
229	0.4428394806
230	0.4426374792
231	0.4424440687
232	0.4422273789
233	0.4419337249
234	0.4417250449
235	0.4412825742
236	0.4409453365
237	0.4406745761
238	0.4403690047
239	0.4400627903
240	0.4396958126
241	0.439520477
242	0.439281314
243	0.4390425606
244	0.4387765916
245	0.4384089072
246	0.4381418944
247	0.4377342365
248	0.4374038528
249	0.4371752215
250	0.4368735694
251	0.4367226099
252	0.4360858149
253	0.435793486
254	0.4352364725
255	0.4348818135
256	0.4346054667
257	0.4343631206
258	0.4341418411
259	0.4337922141
260	0.4334497407
261	0.4331680618
262	0.4328375273
263	0.4326369861
264	0.4323594245
265	0.4319216642
266	0.4317420243
267	0.4314247855
268	0.4311680537
269	0.4309631355
270	0.4305679097
271	0.430349561
272	0.4300961624
273	0.4297463511
274	0.4295070657
275	0.4293180122
276	0.4291547349
277	0.4288720977
278	0.4285932427
279	0.4284083006
280	0.4281815155
281	0.4278964321
282	0.4277296106
283	0.4274184085
284	0.4269489189
285	0.4267538435
286	0.4265100227
287	0.4261521965
288	0.4259477847
289	0.4256254249
290	0.425371075
291	0.4252284895
292	0.4249325451
293	0.4246577249
294	0.4244716013
295	0.4242310917
296	0.4239918189
297	0.4238174649
298	0.4236569055
299	0.4234129794
300	0.4232275515
301	0.4228178463
302	0.4225798446
303	0.4223034649
304	0.421846281
305	0.4215935312
306	0.4213892812
307	0.4211032814
308	0.420886558
309	0.42074663
310	0.4204509954
311	0.4201418662
312	0.419908962
313	0.4196998549
314	0.4195892086
315	0.4194026892
316	0.4191862959
317	0.4189717872
318	0.4186843835
319	0.4182955694
320	0.4180369761
321	0.417830694
322	0.4175567077
323	0.4173253552
324	0.4171856731
325	0.4170932116
326	0.4168982772
327	0.4166666615
328	0.4163223337
329	0.4161838134
330	0.4157558845
331	0.4154994248
332	0.4153686625
333	0.4151981477
334	0.414942992
335	0.4146592893
336	0.4144404629
337	0.4142319849
338	0.4140024367
339	0.4137426879
340	0.4135726564
341	0.4133739216
342	0.4130722792
343	0.4128771884
